Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_Pasien_Dalam_Perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawat,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_,Kasus_Sedang_Investigasi_Lapang,Jumlah_Spesimen_Diperiksa_Terki,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_,Jumlah_Kasus_Diperiksa_Harian_T,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Suspek_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID
270,2020/11/26 00:00:00+00,516753,433649,16352,66752,4917,3842,127,948,83.91804208,3.164374469,12.91758345,5517392,3690126,3173373,51471,38162,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,318
271,2020/11/27 00:00:00+00,522581,437456,16521,68604,5828,3807,169,1852,83.71065921,3.161423779,13.12791701,5566215,3729561,3206980,48823,39435,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,319
272,2020/11/28 00:00:00+00,527999,441983,16646,69370,5418,4527,125,766,83.70906006,3.152657486,13.13828246,5612789,3766860,3238861,46574,37299,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,320
273,2020/11/29 00:00:00+00,534266,445793,16815,71658,6267,3810,169,2288,83.44027133,3.147308644,13.41242003,5655692,3797881,3263615,42903,31021,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,321
274,2020/11/30 00:00:00+00,538883,450518,16945,71420,4617,4725,130,-238,83.60219194,3.144467352,13.25334071,5695747,3827720,3288837,40055,29839,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,322
275,2020/12/01 00:00:00+00,543975,454879,17081,72015,5092,4361,136,595,83.62130613,3.140034009,13.23865986,5746979,3865412,3321437,51232,37692,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,323
276,2020/12/02 00:00:00+00,549508,458880,17199,73429,5533,4001,118,1414,83.50742846,3.129890739,13.3626808,5805224,3907273,3357765,58245,41861,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,324
277,2020/12/03 00:00:00+00,557877,462553,17355,77969,8369,3673,156,4540,82.91307941,3.11090079,13.9760198,5867621,3952752,3394875,62397,45479,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,325
278,2020/12/04 00:00:00+00,563680,466178,17479,80023,5803,3625,124,2054,82.70259722,3.100872836,14.19652995,5926986,3992487,3428807,59365,39735,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,326
279,2020/12/05 00:00:00+00,569707,470449,17589,81669,6027,4271,110,1646,82.57735994,3.087376494,14.33526357,5981908,4029428,3459721,54922,36941,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,327
280,2020/12/06 00:00:00+00,575796,474771,17740,83285,6089,4322,151,1616,82.45472355,3.080952282,14.46432417,6032542,4058033,3482237,50634,28605,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,328
281,2020/12/07 00:00:00+00,581550,479202,17867,84481,5754,4431,127,1196,82.40082538,3.072306766,14.52686785,6059415,4079605,3498055,26873,21572,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,329
282,2020/12/08 00:00:00+00,586842,483497,18000,85345,5292,4295,133,864,82.3896381,3.067265124,14.54309678,6112234,4113090,3526248,52819,33485,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,330
